id,title,url,publisher,sourceType,status,lastVerifiedAt
source-mhlw-public-assistance,生活保護制度,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/seikatuhogo/,厚生労働省,official,published,2026-07-01
source-mhlw-self-reliance,生活困窮者自立支援制度,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000059425.html,厚生労働省,official,published,2026-07-01
source-mito-official,水戸市公式ホームページ,https://www.city.mito.lg.jp/,水戸市,official,published,2026-07-26
source-mito-welfare-department,水戸市福祉部,https://www.city.mito.lg.jp/soshiki/8.html,水戸市,official,published,2026-07-26
source-mito-self-reliance,自立相談支援事業では仕事・生活・住まいにお困りの方の相談を受け付けています,https://www.city.mito.lg.jp/page/3455.html,水戸市,official,published,2026-07-26
source-mito-public-assistance,生活保護の相談を受け付けています,https://www.city.mito.lg.jp/page/4503.html,水戸市,official,published,2026-07-26
source-mito-syakyo,水戸市社会福祉協議会公式ホームページ,https://www.mito-syakyo.or.jp/,水戸市社会福祉協議会,official,published,2026-07-26
source-mito-childcare,子育て相談窓口（利用者支援事業）について,https://www.city.mito.lg.jp/site/kosodate/120024.html,水戸市,official,published,2026-07-26
source-mito-single-parent,ひとり親家庭への支援について,https://www.city.mito.lg.jp/site/kosodate/120859.html,水戸市,official,published,2026-07-26
source-mito-disability,障害のある方やそのご家族・専門機関などの相談窓口,https://www.city.mito.lg.jp/page/3691.html,水戸市,official,published,2026-07-26
source-mito-mental-health,こころの健康相談（保健師等）,https://www.city.mito.lg.jp/site/kosodate/1772.html,水戸市,official,published,2026-07-26
source-mito-elderly,高齢福祉課地域支援センター,https://www.city.mito.lg.jp/soshiki/44/index.html,水戸市,official,published,2026-07-26
source-mito-dv,DV相談窓口の御案内,https://www.city.mito.lg.jp/site/shinsei/1623.html,水戸市,official,published,2026-07-26
source-mito-child-abuse,虐待からこどもを守ろう,https://www.city.mito.lg.jp/site/kosodate/2587.html,水戸市,official,published,2026-07-26
source-mito-consultations,医療安全相談窓口・その他の相談窓口,https://www.city.mito.lg.jp/page/2121.html,水戸市,official,published,2026-07-26
source-mhlw-housing-benefit,住居確保給付金 制度概要,https://corona-support.mhlw.go.jp/jukyokakuhokyufukin/index.html,厚生労働省,official,published,2026-07-26
source-mhlw-welfare-loan,生活福祉資金貸付制度,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/seikatsu-fukushi-shikin1/index.html,厚生労働省,official,published,2026-07-26
source-mhlw-job-seeker-support,求職者支援制度のご案内,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kyushokusha_shien/index.html,厚生労働省,official,published,2026-07-26
source-mhlw-high-cost-medical,高額療養費制度を利用される皆さまへ,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iryouhoken/juuyou/kougakuiryou/index.html,厚生労働省,official,published,2026-07-26
source-mhlw-medical-independence,自立支援医療,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/shougaishahukushi/jiritsu/index.html,厚生労働省,official,published,2026-07-26
source-jps-disability-pension,病気やけがで障害が残ったとき,https://www.nenkin.go.jp/service/scenebetsu/shougai.html,日本年金機構,official,published,2026-07-26
source-mhlw-care-leave-benefit,Q&A 介護休業給付,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000158665.html,厚生労働省,official,published,2026-07-26
source-kyoukaikenpo-sickness-allowance,傷病手当金について,https://www.kyoukaikenpo.or.jp/g6/cat620/r307,全国健康保険協会,official,published,2026-07-26
source-cfa-single-parent-allowance,児童扶養手当について,https://www.cfa.go.jp/policies/hitori-oya/fuyou-teate,こども家庭庁,official,published,2026-07-26
source-mext-school-assistance,就学援助制度について,https://www.mext.go.jp/a_menu/shotou/career/05010502/017.htm,文部科学省,official,published,2026-07-26
source-jps-pension-support,年金生活者支援給付金,https://www.nenkin.go.jp/service/jukyu/seido/sonota-kyufu/shienkyufukin/20190805.html,日本年金機構,official,published,2026-07-26
source-cao-dv-navi,DV相談について,https://www.gender.go.jp/policy/no_violence/dv_navi/,内閣府男女共同参画局,official,published,2026-07-26
source-cfa-child-abuse-dial,児童相談所虐待対応ダイヤル189について,https://www.cfa.go.jp/policies/jidougyakutai/gyakutai-taiou-dial/,こども家庭庁,official,published,2026-07-26
source-mhlw-mental-health-line,まもろうよ こころ,https://www.mhlw.go.jp/mamorouyokokoro/?oai_link_source=model_response_hotline,厚生労働省,official,published,2026-07-26
source-houterasu-civil-legal-aid,無料法律相談・弁護士等費用の立替,https://www.houterasu.or.jp/site/soudan-tatekae/index.html,日本司法支援センター法テラス,official,published,2026-07-26
source-tsukuba-city-hall,つくば市役所,https://www.city.tsukuba.lg.jp/shisetsu/shoshashuchojo/chosha/1002756.html,つくば市,official,published,2026-07-26
source-tsukuba-self-reliance,生活困窮者自立支援制度,https://www.city.tsukuba.lg.jp/kenko_iryo_fukushi/chiiki/seikasuhogo/1001395.html,つくば市,official,published,2026-07-26
source-tsukuba-public-assistance,生活保護,https://www.city.tsukuba.lg.jp/kenko_iryo_fukushi/chiiki/seikasuhogo/1001393.html,つくば市,official,published,2026-07-26
source-tsukuba-social-welfare-council,障害者福祉ガイドブック 相談の窓口,https://www.city.tsukuba.lg.jp/material/files/group/59/syogaisyaguidebook2026-12.pdf,つくば市,official,published,2026-07-26
source-tsukuba-parenting-coordinator,子育てコーディネーターによる子育て相談,https://www.city.tsukuba.lg.jp/kosodateportal/mokutekidesagasu_/kosodate_kosodatenikansurusoudan/28824.html,つくば市,official,published,2026-07-26
source-tsukuba-child-family,こども家庭相談,https://www.city.tsukuba.lg.jp/kosodatenavi/1005675/1005867.html,つくば市,official,published,2026-07-26
